Order Id,Pickup Postal Code,Delivery Postal Code,Urgency,Capacity,Frozen,Job Price
101,596226,828747,Urgent,<200 cm (H+L+W) & max 25kg,Yes,7
102,528559,822229,Urgent,<120 cm (H+L+W) & max 10kg,No,7
103,737855,520854,Urgent,<140 cm (H+L+W) & max 15kg,No,7
104,427787,640265,Urgent,<140 cm (H+L+W) & max 15kg,No,7
105,728651,140022,Urgent,<160 cm (H+L+W) & max 20kg,Yes,7
106,415934,530413,Urgent,<200 cm (H+L+W) & max 25kg,Yes,7
107,408703,738099,Not Urgent,<140 cm (H+L+W) & max 15kg,No,46.8
108,415934,542264,Urgent,1.7m Van,No,7
109,539231,140169,Urgent,<80 cm (H+L+W) & max 5kg,No,7
110,059805,348271,Not Urgent,<80 cm (H+L+W) & max 5kg,No,17
111,539231,538686,Urgent,<80 cm (H+L+W) & max 5kg,No,7
112,758297,573963,Urgent,<120 cm (H+L+W) & max 10kg,No,9
113,349583,534118,Not Urgent,<60 cm (H+L+W) & max 1kg,No,14
114,787472,238214,Urgent,<140 cm (H+L+W) & max 15kg,No,9
115,758297,530693,Urgent,<140 cm (H+L+W) & max 15kg,No,7
116,596226,470713,Urgent,10Ft Lorry,Yes,7
117,619336,669600,Urgent,1.7m Van,No,7
118,758080,524842,Urgent,<100 cm (H+L+W) & max 8kg,No,15
119,528559,439957,Urgent,<120 cm (H+L+W) & max 10kg,No,7
120,637780,643697,Urgent,2.4m Van,Yes,10
121,619729,520260,Urgent,<100 cm (H+L+W) & max 8kg,No,7
122,619729,454871,Urgent,<60 cm (H+L+W) & max 1kg,No,7
123,627575,534118,Not Urgent,1.7m Van,Yes,31.6
124,179105,518144,Urgent,<60 cm (H+L+W) & max 1kg,No,7
125,619336,239789,Urgent,<140 cm (H+L+W) & max 15kg,Yes,7
126,596226,823306,Urgent,<120 cm (H+L+W) & max 10kg,No,7
127,619729,408555,Urgent,<100 cm (H+L+W) & max 8kg,No,7
128,619729,468726,Urgent,1.7m Van,No,7
129,757437,228188,Urgent,14Ft Lorry,No,14
130,659544,730419,Urgent,<60 cm (H+L+W) & max 1kg,No,8
131,486121,640211,Urgent,<120 cm (H+L+W) & max 10kg,No,7
132,169064,680659,Urgent,1.7m Van,No,7
133,728651,460513,Urgent,<100 cm (H+L+W) & max 8kg,No,7
134,159545,569551,Urgent,2.4m Van,No,9.9
135,596226,731893,Urgent,<120 cm (H+L+W) & max 10kg,Yes,7
136,120727,309329,Urgent,<60 cm (H+L+W) & max 1kg,No,7
137,619930,650275,Urgent,1.7m Van,No,7
138,758297,653288,Urgent,14Ft Lorry,Yes,7
139,486121,398412,Urgent,2.4m Van,Yes,9
140,530463,169876,Not Urgent,<100 cm (H+L+W) & max 8kg,No,14
141,486121,734786,Urgent,<60 cm (H+L+W) & max 1kg,No,7
142,637780,529886,Urgent,Document,No,7
143,569880,753104,Urgent,<60 cm (H+L+W) & max 1kg,No,8
144,486121,652463,Urgent,<100 cm (H+L+W) & max 8kg,No,7
145,619729,464188,Urgent,<120 cm (H+L+W) & max 10kg,Yes,16
146,619729,529238,Urgent,<160 cm (H+L+W) & max 20kg,No,7
147,738284,102080,Urgent,<60 cm (H+L+W) & max 1kg,No,10
148,180008,542321,Urgent,<60 cm (H+L+W) & max 1kg,No,7
149,619336,238146,Urgent,10Ft Lorry,No,7
150,619729,190461,Urgent,<120 cm (H+L+W) & max 10kg,No,10
